Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1252195407
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      11000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	1
	AncTag	5	Sheep Goat Cow Buffalo Pronghorn 
Restrictions:
    qDG                          None
    qGD                          qDG
Prior Information:
    Prior Categories:            100
    Priors
        qDG - exp 1.00 
Node reconstruction / fossilisation:
	MRCA RecNode AncTag
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	RecNode P(D)	RecNode P(G)	
1001000	-8.478661	11	2.095766	2.095766	0.037143	0.962857	0.996419	0.003581	
1002000	-9.420623	465	1.101359	1.101359	0.017267	0.982733	0.994517	0.005483	
1003000	-8.925093	434	2.034022	2.034022	0.041245	0.958755	0.976681	0.023319	
1004000	-9.540927	426	1.409642	1.409642	0.016869	0.983131	0.836476	0.163524	
1005000	-10.689644	85	0.645808	0.645808	0.002590	0.997410	0.994912	0.005088	
1006000	-8.495481	223	2.306028	2.306028	0.037028	0.962972	0.765949	0.234051	
1007000	-8.038142	89	2.757361	2.757361	0.082095	0.917905	0.993391	0.006609	
1008000	-7.302128	189	3.603594	3.603594	0.149170	0.850830	0.989304	0.010696	
1009000	-8.438348	326	2.118134	2.118134	0.026045	0.973955	0.973723	0.026277	
1010000	-11.280103	66	0.529142	0.529142	0.001840	0.998160	0.997517	0.002483	
1011000	-7.780861	113	5.394868	5.394868	0.153770	0.846230	0.982427	0.017573	
1012000	-7.551372	30	2.715718	2.715718	0.076898	0.923102	0.996339	0.003661	
1013000	-7.545864	12	2.202071	2.202071	0.048152	0.951848	0.892610	0.107390	
1014000	-8.480242	270	1.932368	1.932368	0.035152	0.964848	0.999534	0.000466	
1015000	-8.623080	30	1.338631	1.338631	0.020992	0.979008	0.998260	0.001740	
1016000	-8.477287	71	2.636173	2.636173	0.081142	0.918858	0.986900	0.013100	
1017000	-8.277203	136	2.512808	2.512808	0.056331	0.943669	0.991998	0.008002	
1018000	-9.311957	271	1.319422	1.319422	0.014353	0.985647	0.798527	0.201473	
1019000	-8.628864	146	2.070519	2.070519	0.035364	0.964636	0.968507	0.031493	
1020000	-8.716259	494	3.066244	3.066244	0.105341	0.894659	0.946893	0.053107	
1021000	-10.609614	128	0.910525	0.910525	0.005775	0.994225	0.984751	0.015249	
1022000	-8.003404	257	3.312592	3.312592	0.108770	0.891230	0.979178	0.020822	
1023000	-7.999188	488	3.114217	3.114217	0.128878	0.871122	0.975485	0.024515	
1024000	-9.931704	103	0.995277	0.995277	0.008774	0.991226	0.989372	0.010628	
1025000	-8.414686	412	1.690031	1.690031	0.029577	0.970423	0.880497	0.119503	
1026000	-8.942028	56	1.189784	1.189784	0.010268	0.989732	0.996879	0.003121	
1027000	-9.692757	222	1.288950	1.288950	0.011566	0.988434	0.872465	0.127535	
