Options:
Model:                           Independent Contrasts
Tree File Name:                  Rhizobiales.trees
Data File Name:                  LnGenomeSize.txt
Log File Name:                   LnGenomeSize.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1676938870
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      11000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   LnGenomeSize.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Tags:	1
	Tag-Devosia	8	Devosia_enhydra_ATCC_23634 Devosia_sp_Root105 Devosia_sp_Root436 Devosia_psychrophila_CGMCC_1_10210 Devosia_sp_LC5 Devosia_sp_Leaf420 Devosia_sp_Root685 Devosia_sp_S37 
Restrictions:
    Alpha-1                      None
    Sigma-1                      None
Prior Information:
    Priors
        Alpha-1 - uniform -100.00 100.00 
        Sigma-1 - uniform 0.00 100.00 
        AncState-1 - uniform -100.00 100.00 
Node reconstruction / fossilisation:
	MRCA DevosiaAnc Tag-Devosia
Removed taxa:
          Rhizobium_alamii_YR584
Tree Information
     Trees:                      1000
     Taxa:                       160
     Sites:                      1
Iteration	Lh	Tree No	Alpha 1	Sigma^2 1	DevosiaAnc Alpha	
1001000	83.003406	374	15.204445513545	0.265847698659	15.242995	
1002000	82.587033	155	15.140931193825	0.242945160546	15.243369	
1003000	80.796071	797	15.312300767620	0.225617986445	15.241429	
1004000	82.972837	468	15.266560698254	0.236993877152	15.244107	
1005000	81.543082	251	15.176389758217	0.247657663980	15.243630	
1006000	80.819592	756	15.083682258403	0.229786832262	15.240980	
1007000	83.083315	523	15.080851218447	0.250652271267	15.243614	
1008000	83.416971	168	15.299144821817	0.233645183168	15.240818	
1009000	81.633602	485	15.153782283193	0.263541431615	15.242094	
1010000	81.468867	297	15.361909422159	0.271855947150	15.244354	
1011000	84.053115	375	15.116282315239	0.253634551915	15.244520	
1012000	82.005380	240	15.267753889987	0.242056736465	15.243663	
1013000	82.410716	40	15.249512928700	0.252027085038	15.242547	
1014000	81.585256	812	15.179062222103	0.264905306460	15.244216	
1015000	83.385941	634	15.082073009172	0.233098095967	15.241138	
1016000	82.733269	57	15.179256295309	0.242329414313	15.244229	
1017000	76.422875	537	15.152854331121	0.367069624400	15.240257	
1018000	82.203580	744	15.220571773782	0.238904282184	15.243489	
1019000	80.489085	588	15.363167492739	0.226380388955	15.241420	
1020000	82.853423	545	15.258844750384	0.228653152214	15.241365	
1021000	82.406291	284	15.166382566612	0.250522917478	15.243371	
1022000	81.255798	884	15.125108390200	0.280288362222	15.240873	
1023000	80.761377	517	15.337286983007	0.292044377133	15.241318	
1024000	82.436977	299	15.243386777632	0.249577319863	15.239866	
1025000	81.327255	581	15.076058194819	0.289952056393	15.242003	
1026000	81.170530	180	15.279856081688	0.292870199869	15.239325	
1027000	79.881876	462	14.998520784662	0.244960666869	15.242085	
1028000	82.523533	54	15.200714189619	0.266141496597	15.241992	
1029000	79.216995	865	15.267189027476	0.302331701774	15.242018	
1030000	82.615803	584	15.220881413750	0.253803851495	15.239383	
1031000	82.883488	99	15.136839051947	0.263744458132	15.241899	
1032000	81.649293	162	15.208146518508	0.223668150367	15.240041	
1033000	84.089288	441	15.126161585276	0.244758088833	15.243410	
1034000	83.563216	444	15.111943024477	0.244489018119	15.242080	
1035000	82.130210	339	15.173152413965	0.246628501530	15.243814	
1036000	75.854910	314	15.478025823834	0.317731564709	15.242816	
1037000	79.645206	529	15.002528862464	0.207316624373	15.241917	
1038000	82.688521	28	15.218421482426	0.273425830340	15.242345	
1039000	81.002901	16	15.242452118888	0.290281795038	15.241670	
1040000	81.597571	670	15.251301140191	0.192413279077	15.242052	
1041000	81.440839	564	15.287314295090	0.227471835784	15.240325	
1042000	82.705997	879	15.122829994421	0.242708531283	15.241534	
